retreived_at	waiting_days	term_start	term_end	term_days	applications	applications_acc	provisions	provisions_acc	amount	amount_acc
2022-01-26	25	2020-03-25	2022-01-01	648	3166567	3166567	3083410	3083410	1333602523000	1333602523000
2022-01-26	18	2022-01-02	2022-01-08	7	7811	3174378	9145	3092555	3977834000	1337580357000
2022-01-26	11	2022-01-09	2022-01-15	7	4923	3179301	9739	3102294	4136637000	1341716994000
2022-02-02	25	2020-03-25	2022-01-08	655	3175272	3175272	3092671	3092671	1337620910000	1337620910000
2022-02-02	18	2022-01-09	2022-01-15	7	5710	3180982	9897	3102568	4205697000	1341826607000
2022-02-02	11	2022-01-16	2022-01-22	7	6246	3187228	9879	3112447	3984590000	1345811197000
2022-02-04	20	2020-03-25	2022-01-15	662	3181452	3181452	3102581	3102581	1341823467000	1341823467000
2022-02-04	13	2022-01-16	2022-01-22	7	7008	3188460	10038	3112619	4045840000	1345869307000
2022-02-04	6	2022-01-23	2022-01-29	7	6359	3194819	6928	3119547	2340231000	1348209538000
2022-02-11	20	2020-03-25	2022-01-22	669	3188811	3188811	3112569	3112569	1345845597000	1345845597000
2022-02-11	13	2022-01-23	2022-01-29	7	7272	3196083	7192	3119761	2430301000	1348275898000
2022-02-11	6	2022-01-30	2022-02-05	7	6303	3202386	6696	3126457	2302633000	1350578531000
2022-02-18	20	2020-03-25	2022-01-29	676	3196381	3196381	3119726	3119726	1348258888000	1348258888000
2022-02-18	13	2022-01-30	2022-02-05	7	8897	3205278	7381	3127107	2450313000	1350709201000
2022-02-18	6	2022-02-06	2022-02-12	7	5343	3210621	7351	3134458	2572147000	1353281348000
2022-02-25	20	2020-03-25	2022-02-05	683	3204350	3204350	3124178	3124178	1349264956000	1349264956000
2022-02-25	13	2022-02-06	2022-02-12	7	6210	3210560	7618	3131796	2640211000	1351905167000
2022-02-25	6	2022-02-13	2022-02-19	7	7855	3218415	7476	3139272	2465424000	1354370591000
2022-03-04	20	2020-03-25	2022-02-12	690	3208249	3208249	3128098	3128098	1350478715000	1350478715000
2022-03-04	13	2022-02-13	2022-02-19	7	7871	3216120	7519	3135617	2813165102	1353291880000
2022-03-04	6	2022-02-20	2022-02-26	7	6252	3222372	6353	3141970	2034125000	1355326005000
2022-03-11	20	2020-03-25	2022-02-19	697	3221522	3221522	3142312	3142312	1355851419000	1355851419000
2022-03-11	13	2022-02-20	2022-02-26	7	7294	3228816	7340	3149652	2462109000	1358313528000
2022-03-11	6	2022-02-27	2022-03-05	7	9235	3238051	8303	3157955	2727297000	1361040825000
