id,retreived_at,waiting_days,term_start,term_end,term_days,applications,applications_acc,provisions,provisions_acc,amount,amount_acc
1,2022-02-04,20,2020-03-25,2022-01-15,662,3181452,3181452,3102581,3102581,1341823467000,1341823467000
2,2022-02-04,13,2022-01-16,2022-01-22,7,7008,3188460,10038,3112619,4045840000,1345869307000
3,2022-02-04,6,2022-01-23,2022-01-29,7,6359,3194819,6928,3119547,2340231000,1348209538000
4,2022-02-11,20,2020-03-25,2022-01-22,669,3188811,3188811,3112569,3112569,1345845597000,1345845597000
5,2022-02-11,13,2022-01-23,2022-01-29,7,7272,3196083,7192,3119761,2430301000,1348275898000
6,2022-02-11,6,2022-01-30,2022-02-05,7,6303,3202386,6696,3126457,2302633000,1350578531000
7,2022-02-18,20,2020-03-25,2022-01-29,676,3196381,3196381,3119726,3119726,1348258888000,1348258888000
8,2022-02-18,13,2022-01-30,2022-02-05,7,8897,3205278,7381,3127107,2450313000,1350709201000
9,2022-02-18,6,2022-02-06,2022-02-12,7,5343,3210621,7351,3134458,2572147000,1353281348000
10,2022-02-25,20,2020-03-25,2022-02-05,683,3204350,3204350,3124178,3124178,1349264956000,1349264956000
11,2022-02-25,13,2022-02-06,2022-02-12,7,6210,3210560,7618,3131796,2640211000,1351905167000
12,2022-02-25,6,2022-02-13,2022-02-19,7,7855,3218415,7476,3139272,2465424000,1354370591000
13,2022-03-04,20,2020-03-25,2022-02-12,690,3208249,3208249,3128098,3128098,1350478715000,1350478715000
14,2022-03-04,13,2022-02-13,2022-02-19,7,7871,3216120,7519,3135617,2813165102,1353291880000
15,2022-03-04,6,2022-02-20,2022-02-26,7,6252,3222372,6353,3141970,2034125000,1355326005000
16,2022-03-11,20,2020-03-25,2022-02-19,697,3221522,3221522,3142312,3142312,1355851419000,1355851419000
17,2022-03-11,13,2022-02-20,2022-02-26,7,7294,3228816,7340,3149652,2462109000,1358313528000
18,2022-03-11,6,2022-02-27,2022-03-05,7,9235,3238051,8303,3157955,2727297000,1361040825000
19,2022-03-18,20,2020-03-25,2022-02-26,704,3229314,3229314,3149650,3149650,1358310728000,1358310728000
20,2022-03-18,13,2022-02-27,2022-03-05,7,10575,3239889,8614,3158264,2815897000,1361126625000
21,2022-03-18,6,2022-03-06,2022-03-12,7,7727,3247616,8590,3166854,2757107000,1363883732000
22,2022-03-25,20,2020-03-25,2022-03-05,711,3240311,3240311,3158213,3158213,1361099885000,1361099885000
23,2022-03-25,13,2022-03-06,2022-03-12,7,8746,3249057,8891,3167104,2830037000,1363929922000
24,2022-03-25,6,2022-03-13,2022-03-19,7,7469,3256526,9190,3176294,3239611000,1367169533000
25,2022-04-01,20,2020-03-25,2022-03-12,718,3249740,3249740,3167120,3167120,1363920962000,1363920962000
26,2022-04-01,13,2022-03-13,2022-03-19,7,9802,3259542,9603,3176723,3344311000,1367265273000
27,2022-04-01,6,2022-03-20,2022-03-26,7,5919,3265461,7875,3184598,2720083000,1369985356000
28,2022-04-08,20,2020-03-25,2022-03-19,725,3260227,3249740,3275204,3275204,1367263523000,1367263523000
29,2022-04-08,13,2022-03-20,2022-03-26,7,7317,3257057,8111,3283315,2794713000,1370058236000
30,2022-04-08,6,2022-03-27,2022-04-02,7,7660,3275204,7767,3184598,2611119000,1372669355000
31,2022-04-15,20,2020-03-25,2022-03-26,732,3268028,3268028,3184848,3184848,1370060136000,1370060136000
32,2022-04-15,13,2022-03-27,2022-04-02,7,11084,3279112,8290,3193138,2772279000,1372832415000
33,2022-04-15,6,2022-04-03,2022-04-09,7,4021,3283133,7058,3200196,2370644000,1375203059000
34,2022-04-22,20,2020-03-25,2022-04-02,739,3279776,3279776,3193142,3193142,1372833115000,1372833115000
